index, timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2017/09/13 17:26:46.914, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P8, 3, 1, 28, 0 %, 0 %, 3526 MiB, 3524 MiB, 2 MiB, 17.64 W, 324 MHz, 324 MHz, 324 MHz
3, 2017/09/13 17:26:46.942, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P8, 3, 1, 28, 0 %, 0 %, 3526 MiB, 3523 MiB, 3 MiB, 17.64 W, 324 MHz, 324 MHz, 324 MHz
3, 2017/09/13 17:26:46.996, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 28, 0 %, 0 %, 3526 MiB, 3522 MiB, 4 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.009, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 0 %, 0 %, 3526 MiB, 3488 MiB, 38 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.021, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 0 %, 0 %, 3526 MiB, 3486 MiB, 40 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.032, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 0 %, 0 %, 3526 MiB, 3484 MiB, 42 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.047, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3482 MiB, 44 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.063, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3480 MiB, 46 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.078, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3479 MiB, 47 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.085, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3479 MiB, 47 MiB, 19.80 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.094, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3477 MiB, 49 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.108, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3475 MiB, 51 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.119, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3475 MiB, 51 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.127, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3473 MiB, 53 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.138, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3471 MiB, 55 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.154, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3471 MiB, 55 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.170, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3471 MiB, 55 MiB, 44.08 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.184, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 3 %, 0 %, 3526 MiB, 3471 MiB, 55 MiB, 43.94 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.221, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3468 MiB, 58 MiB, 43.94 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.245, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3465 MiB, 61 MiB, 43.94 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.260, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3464 MiB, 62 MiB, 43.94 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.267, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.94 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.275, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.290, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.297, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.306, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.320, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.327, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.336, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3463 MiB, 63 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.351, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3462 MiB, 64 MiB, 43.63 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.366, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3460 MiB, 66 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.377, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 7 %, 0 %, 3526 MiB, 3459 MiB, 67 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.386, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 5 %, 0 %, 3526 MiB, 3459 MiB, 67 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.398, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 5 %, 0 %, 3526 MiB, 3458 MiB, 68 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.411, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 5 %, 0 %, 3526 MiB, 3458 MiB, 68 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.418, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 5 %, 0 %, 3526 MiB, 3456 MiB, 70 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.428, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 5 %, 0 %, 3526 MiB, 3454 MiB, 72 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:26:47.441, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 29, 5 %, 0 %, 3526 MiB, 3452 MiB, 74 MiB, 43.91 W, 745 MHz, 2500 MHz, 745 MHz
