index, timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2017/09/13 17:34:51.011, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 22, 0 %, 0 %, 3526 MiB, 3483 MiB, 43 MiB, 21.49 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.022, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3480 MiB, 46 MiB, 21.49 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.029, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3479 MiB, 47 MiB, 21.49 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.042, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3477 MiB, 49 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.051, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.060, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.068, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.075, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.083, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.088, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.097, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.103, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.114, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.118, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.77 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.129, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.133, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3476 MiB, 50 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.144, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3475 MiB, 51 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.148, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3475 MiB, 51 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.159, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3474 MiB, 52 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.163, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3474 MiB, 52 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.175, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3473 MiB, 53 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.179, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3472 MiB, 54 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.189, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 3 %, 0 %, 3526 MiB, 3470 MiB, 56 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.194, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 5 %, 0 %, 3526 MiB, 3470 MiB, 56 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.203, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 5 %, 0 %, 3526 MiB, 3470 MiB, 56 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
3, 2017/09/13 17:34:51.208, Tesla K10.G2.8GB, 0000:45:00.0, 367.48, P0, 3, 3, 23, 5 %, 0 %, 3526 MiB, 3470 MiB, 56 MiB, 43.82 W, 745 MHz, 2500 MHz, 745 MHz
